"","Scientific_name_EP","BS_Family","n"
"1","Amphisbetia minima","Aglaopheniidae",1
"2","Amphisbetia operculata","Campanulariidae",1
"3","Antennella kiwiana","Aglaopheniidae",1
"4","Antennella kiwiana","Sertulariidae",1
"5","Antennella secundaria","Halopterididae",3
"6","Anthohebella brevitheca","Aglaopheniidae",1
"7","Anthohebella parasitica","Aglaopheniidae",1
"8","Anthohebella parasitica","Halopterididae",2
"9","Anthohebella parasitica","Sertularellidae",2
"10","Billardia novaezealandiae","Aglaopheniidae",1
"11","Billardia novaezealandiae","Sertulariidae",1
"12","Bougainvillia muscoides","Campanulariidae",1
"13","Bougainvillia muscoides","Lafoeidae",1
"14","Bougainvillia muscoides","Plumulariidae",1
"15","Bougainvillia muscoides","Sertularellidae",1
"16","Bougainvillia muscoides","Symplectoscyphidae",1
"17","Bougainvillia muscus","Pennariidae",1
"18","Bougainvillia pyramidata","Campanulariidae",1
"19","Bougainvillia pyramidata","Lafoeidae",1
"20","Bougainvillia pyramidata","Plumulariidae",1
"21","Bougainvillia pyramidata","Sertularellidae",1
"22","Bougainvillia pyramidata","Symplectoscyphidae",1
"23","Campanularia","Symplectoscyphidae",2
"24","Campanularia","Syntheciidae",1
"25","Campanularia","Thyroscyphidae",1
"26","Campanularia hicksoni","Eudendriidae",1
"27","Campanularia lennoxensis","Sertularellidae",1
"28","Campanularia lennoxensis","Sertulariidae",1
"29","Campanularia lennoxensis","Symplectoscyphidae",2
"30","Campanulina","Symplectoscyphidae",2
"31","Clytia","Plumulariidae",1
"32","Clytia","Symplectoscyphidae",2
"33","Clytia","Tubulariidae",2
"34","Clytia hemisphaerica","Aglaopheniidae",1
"35","Clytia hemisphaerica","Campanulariidae",1
"36","Clytia hemisphaerica","Haleciidae",1
"37","Clytia hemisphaerica","Plumulariidae",1
"38","Clytia hemisphaerica","Sertulariidae",1
"39","Clytia reloncavia","Bougainvilliidae",1
"40","Coryne sagamiensis","Clathrozoidae",1
"41","Coryne sagamiensis","Zygophylacidae",1
"42","Cuspidella urceolata","Plumulariidae",1
"43","Dictyocladium monilifer","Tiarannidae",1
"44","Dictyocladium thuja","Lafoeidae",1
"45","Diphasia cristata","Aglaopheniidae",2
"46","Diphasia cristata","Sertulariidae",1
"47","Diphasia nuttingi","Aglaopheniidae",2
"48","Dynamena maldivensis","Syntheciidae",1
"49","Dynamena quadridentata","Symplectoscyphidae",1
"50","Eudendrium","Haleciidae",2
"51","Filellum","Aglaopheniidae",1
"52","Filellum","Eudendriidae",1
"53","Filellum","Sertularellidae",1
"54","Filellum","Sertulariidae",1
"55","Filellum","Symplectoscyphidae",2
"56","Filellum antarcticum","Sertulariidae",1
"57","Filellum antarcticum","Symplectoscyphidae",1
"58","Filellum serpens","Aglaopheniidae",2
"59","Filellum serpens","Halopterididae",1
"60","Filellum serpens","Sertulariidae",2
"61","Filellum serpens","Symplectoscyphidae",2
"62","Filellum serpens","Syntheciidae",1
"63","Filellum serpens","Zygophylacidae",1
"64","Filellum serratum","Aglaopheniidae",2
"65","Filellum serratum","Campanulariidae",2
"66","Filellum serratum","Eudendriidae",1
"67","Filellum serratum","Haleciidae",2
"68","Filellum serratum","Halopterididae",1
"69","Filellum serratum","Lafoeidae",1
"70","Filellum serratum","Plumulariidae",2
"71","Filellum serratum","Sertularellidae",2
"72","Filellum serratum","Sertulariidae",4
"73","Filellum serratum","Symplectoscyphidae",2
"74","Filellum serratum","Syntheciidae",2
"75","Fiordlandia protecta","Symplectoscyphidae",1
"76","Grammaria borealis","Oceaniidae",1
"77","Gymnangium humile","Aglaopheniidae",1
"78","Gymnangium prolifer","Aglaopheniidae",2
"79","Gymnangium tubuliferum","Aglaopheniidae",2
"80","Halecium annuliforme","Haleciidae",1
"81","Halecium annuliforme","Thyroscyphidae",1
"82","Halecium delicatulum","Lafoeidae",1
"83","Halecium delicatulum","Sertularellidae",2
"84","Halecium delicatulum","Sertulariidae",1
"85","Halecium delicatulum","Symplectoscyphidae",1
"86","Halecium delicatulum","Tubulariidae",1
"87","Halecium fragile","Syntheciidae",1
"88","Halecium platythecum","Symplectoscyphidae",1
"89","Halecium tenellum","Bougainvilliidae",1
"90","Halopteris campanula","Aglaopheniidae",2
"91","Halopteris concava","Hebellidae",1
"92","Halopteris minuta","Sertularellidae",1
"93","Halopteris plumosa","Symplectoscyphidae",1
"94","Hebella dyssymetra","Aglaopheniidae",1
"95","Hebella scandens","Sertularellidae",2
"96","Hebella scandens","Sertulariidae",2
"97","Hebella scandens","Symplectoscyphidae",2
"98","Hebella scandens","Syntheciidae",6
"99","Hebella striata","Lafoeidae",1
"100","Hydractinia monoon","Eudendriidae",1
"101","Kirchenpaueria bonnevieae","Aglaopheniidae",2
"102","Kirchenpaueria bonnevieae","Kirchenpaueriidae",1
"103","Kirchenpaueria bonnevieae","Plumulariidae",2
"104","Kirchenpaueria curvata","Plumulariidae",1
"105","Kirchenpaueria curvata","Sertularellidae",1
"106","Kirchenpaueria curvata","Sertulariidae",1
"107","Lafoea dumosa","Bougainvilliidae",1
"108","Lafoea dumosa","Symplectoscyphidae",1
"109","Lovenella","Sertulariidae",1
"110","Lytocarpia epizoica","Aglaopheniidae",1
"111","Lytocarpia incisa","Aglaopheniidae",1
"112","Macrorhynchia philippina","Symplectoscyphidae",1
"113","Modeeria rotunda","Aglaopheniidae",1
"114","Modeeria rotunda","Campanulariidae",1
"115","Modeeria rotunda","Haleciidae",1
"116","Modeeria rotunda","Lafoeidae",2
"117","Modeeria rotunda","Plumulariidae",1
"118","Modeeria rotunda","Sertularellidae",1
"119","Modeeria rotunda","Sertulariidae",1
"120","Modeeria rotunda","Symplectoscyphidae",2
"121","Modeeria rotunda","Tubulariidae",1
"122","Modeeria rotunda","Zygophylacidae",1
"123","Monostaechas quadridens","Aglaopheniidae",1
"124","Monostaechas quadridens","Eudendriidae",1
"125","Monotheca pulchella","Symplectoscyphidae",1
"126","Opercularella","Campanulariidae",1
"127","Opercularella","Clathrozoidae",1
"128","Orthopyxis affabilis","Symplectoscyphidae",1
